Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:12.F1,"urn:cite:hmt:vaimg.VA162VN-0664@0.6831,0.2564,0.0427,0.0122",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F2,"urn:cite:hmt:vaimg.VA162VN-0664@0.7304,0.3153,0.0559,0.011",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F3,"urn:cite:hmt:vaimg.VA162VN-0664@0.7121,0.3754,0.0303,0.0072",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F4,"urn:cite:hmt:vaimg.VA162VN-0664@0.5736,0.3914,0.0591,0.0135",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F5,"urn:cite:hmt:vaimg.VA162VN-0664@0.6016,0.4282,0.0841,0.0113",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F6,"urn:cite:hmt:vaimg.VA162VN-0664@0.7197,0.444,0.0671,0.0135",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F7,"urn:cite:hmt:vaimg.VA162VN-0664@0.7147,0.5364,0.1822,0.015",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F8,"urn:cite:hmt:vaimg.VA162VN-0664@0.5986,0.5575,0.0571,0.0113",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F9,"urn:cite:hmt:vaimg.VA162VN-0664@0.7978,0.5567,0.0611,0.0113",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F10,"urn:cite:hmt:vaimg.VA162VN-0664@0.6627,0.6138,0.045,0.012",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F11,"urn:cite:hmt:vaimg.VA162VN-0664@0.5285,0.6341,0.043,0.012",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F12,"urn:cite:hmt:vaimg.VA162VN-0664@0.8478,0.6491,0.039,0.0105",urn:cite:hmt:msA.162v
