Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:12.F1,"urn:cite:hmt:vaimg.VA162VN-0664@0.6831,0.2564,0.0427,0.0122",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F2,"urn:cite:hmt:vaimg.VA162VN-0664@0.7304,0.3153,0.0559,0.011",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F3,"urn:cite:hmt:vaimg.VA162VN-0664@0.7121,0.3754,0.0303,0.0072",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F4,"urn:cite:hmt:vaimg.VA162VN-0664@0.5736,0.3914,0.0591,0.0135",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F5,"urn:cite:hmt:vaimg.VA162VN-0664@0.6016,0.4282,0.0841,0.0113",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F6,"urn:cite:hmt:vaimg.VA162VN-0664@0.7197,0.444,0.0671,0.0135",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F7,"urn:cite:hmt:vaimg.VA162VN-0664@0.7147,0.5364,0.1822,0.015",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F8,"urn:cite:hmt:vaimg.VA162VN-0664@0.5986,0.5575,0.0571,0.0113",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F9,"urn:cite:hmt:vaimg.VA162VN-0664@0.7978,0.5567,0.0611,0.0113",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F10,"urn:cite:hmt:vaimg.VA162VN-0664@0.6627,0.6138,0.045,0.012",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F11,"urn:cite:hmt:vaimg.VA162VN-0664@0.5285,0.6341,0.043,0.012",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F12,"urn:cite:hmt:vaimg.VA162VN-0664@0.8478,0.6491,0.039,0.0105",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAil.hmt:12.F13,"urn:cite:hmt:vaimg.VA163RN-0334@0.2075,0.2537,0.0607,0.0147",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.F14,"urn:cite:hmt:vaimg.VA163RN-0334@0.4193,0.2739,0.029,0.0139",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.F15,"urn:cite:hmt:vaimg.VA163RN-0334@0.4018,0.2933,0.1421,0.0131",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.F16,"urn:cite:hmt:vaimg.VA163RN-0334@0.3839,0.4444,0.0491,0.0131",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.F17,"urn:cite:hmt:vaimg.VA163RN-0334@0.2027,0.4979,0.084,0.0163",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.F18,"urn:cite:hmt:vaimg.VA163RN-0334@0.3649,0.5391,0.1025,0.0155",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.F19,"urn:cite:hmt:vaimg.VA163RN-0334@0.49,0.5787,0.1067,0.0155",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.F20,"urn:cite:hmt:vaimg.VA163RN-0334@0.5898,0.6548,0.0243,0.0139",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msAil.hmt:12.A1,"urn:cite:hmt:vaimg.VA154VN-0656@0.5391,0.2128,0.0441,0.012",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A2,"urn:cite:hmt:vaimg.VA154VN-0656@0.6256,0.2164,0.0641,0.0143",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A3,"urn:cite:hmt:vaimg.VA154VN-0656@0.6767,0.2585,0.048,0.0105",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A4,"urn:cite:hmt:vaimg.VA154VN-0656@0.5461,0.2752,0.0411,0.0113",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A5,"urn:cite:hmt:vaimg.VA154VN-0656@0.6286,0.2765,0.039,0.0113",urn:cite:hmt:msA.154v
