Observation,TextUrn,Image,Comments
urn:cite:op:hmt12f.1,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@π,"urn:cite:hmt:vaimg.VA162VN-0664@0.4885,0.228,0.028,0.0115",
urn:cite:op:hmt12f.2,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@α,"urn:cite:hmt:vaimg.VA162VN-0664@0.5123,0.2291,0.0109,0.009",
urn:cite:op:hmt12f.3,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ι,"urn:cite:hmt:vaimg.VA162VN-0664@0.5227,0.2287,0.0062,0.0097",
urn:cite:op:hmt12f.4,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@δ,"urn:cite:hmt:vaimg.VA162VN-0664@0.5275,0.2226,0.019,0.0151",
urn:cite:op:hmt12f.5,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ὸ,"urn:cite:hmt:vaimg.VA162VN-0664@0.5436,0.2215,0.0105,0.0165",
urn:cite:op:hmt12f.6,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@σ,"urn:cite:hmt:vaimg.VA162VN-0664@0.5545,0.2291,0.0124,0.009",
urn:cite:op:hmt12f.7,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ἑ,"urn:cite:hmt:vaimg.VA162VN-0664@0.5683,0.219,0.0147,0.0198",
urn:cite:op:hmt12f.8,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ο,"urn:cite:hmt:vaimg.VA162VN-0664@0.5816,0.228,0.0095,0.0108",
urn:cite:op:hmt12f.9,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ῦ,"urn:cite:hmt:vaimg.VA162VN-0664@0.592,0.2241,0.0096,0.012",
urn:cite:op:hmt12f.10,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@μ,"urn:cite:hmt:vaimg.VA162VN-0664@0.6097,0.2269,0.0157,0.0126",
urn:cite:op:hmt12f.11,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ή,"urn:cite:hmt:vaimg.VA162VN-0664@0.6225,0.2219,0.0162,0.0162",
urn:cite:op:hmt12f.12,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ν,"urn:cite:hmt:vaimg.VA162VN-0664@0.6372,0.228,0.0124,0.0115",
urn:cite:op:hmt12f.13,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@η,"urn:cite:hmt:vaimg.VA162VN-0664@0.6515,0.228,0.009,0.0101",
urn:cite:op:hmt12f.14,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@υ,"urn:cite:hmt:vaimg.VA162VN-0664@0.6614,0.228,0.0086,0.009",
urn:cite:op:hmt12f.15,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ς[2],"urn:cite:hmt:vaimg.VA162VN-0664@0.67,0.2284,0.0114,0.0093",
urn:cite:op:hmt12f.16,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ὶ,"urn:cite:hmt:vaimg.VA162VN-0664@0.6762,0.2187,0.0124,0.0208",
urn:cite:op:hmt12f.17,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ν[2],"urn:cite:hmt:vaimg.VA162VN-0664@0.6862,0.2269,0.0128,0.0137",
urn:cite:op:hmt12f.18,urn:cts:greekLit:tlg0012.tlg001.msA:12.403@ἐπ,"urn:cite:hmt:vaimg.VA162VN-0664@0.7033,0.219,0.019,0.0194",Ligature
