Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:12.F1,"urn:cite:hmt:vaimg.VA162VN-0664@0.3515,0.3904,0.1136,0.0402",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAim.hmt:12.F2,"urn:cite:hmt:vaimg.VA162VN-0664@0.3951,0.5477,0.0677,0.0165",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAim.hmt:12.F3,"urn:cite:hmt:vaimg.VA162VN-0664@0.4004,0.6003,0.0891,0.0278",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msAim.hmt:12.A1,"urn:cite:hmt:vaimg.VA154VN-0656@0.4505,0.4132,0.0621,0.0203",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAim.hmt:12.B1,"urn:cite:hmt:vaimg.VA155RN-0327@0.5749,0.2854,0.0354,0.0212",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAim.hmt:12.B2,"urn:cite:hmt:vaimg.VA155RN-0327@0.5869,0.3431,0.0273,0.0142",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msAim.hmt:12.C1,"urn:cite:hmt:vaimg.VA155VN-0657@0.4505,0.29,0.0531,0.0285",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msAim.hmt:12.C2,"urn:cite:hmt:vaimg.VA155VN-0657@0.4464,0.447,0.043,0.021",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msAim.hmt:12.C3,"urn:cite:hmt:vaimg.VA155VN-0657@0.4434,0.5372,0.0661,0.0316",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msAim.hmt:12.C4,"urn:cite:hmt:vaimg.VA155VN-0657@0.4364,0.565,0.0671,0.0218",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msAim.hmt:12.C5,"urn:cite:hmt:vaimg.VA155VN-0657@0.4775,0.5838,0.034,0.0113",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msAim.hmt:12.C6,"urn:cite:hmt:vaimg.VA155VN-0657@0.4484,0.6814,0.0571,0.0428",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msAim.hmt:12.E1,"urn:cite:hmt:vaimg.VA156VN-0658@0.4404,0.2908,0.0641,0.1007",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAim.hmt:12.E2,"urn:cite:hmt:vaimg.VA156VN-0658@0.4484,0.5928,0.043,0.0421",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAim.hmt:12.E3,"urn:cite:hmt:vaimg.VA157VN-0659@0.4355,0.2614,0.1326,0.0092",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAim.hmt:12.E4,"urn:cite:hmt:vaimg.VA157VN-0659@0.4345,0.304,0.0706,0.011",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAim.hmt:12.E5,"urn:cite:hmt:vaimg.VA157VN-0659@0.4332,0.3876,0.0662,0.0211",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAim.hmt:12.E6,"urn:cite:hmt:vaimg.VA157VN-0659@0.4426,0.4228,0.0789,0.0237",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAim.hmt:12.G1,"urn:cite:hmt:vaimg.VA157RN-0328@0.5756,0.2066,0.0761,0.0323",urn:cite:hmt:msA.157r
urn:cts:greekLit:tlg5026.msAim.hmt:12.G2,"urn:cite:hmt:vaimg.VA157RN-0328@0.5475,0.3028,0.0561,0.024",urn:cite:hmt:msA.157r
